author,text,time,likes,reply_count
@xiao_lin_shuo,"那么问题来了，你觉得接下来美股和黄金还能哐哐涨吗?:face-purple-wide-eyes:
小Lin说专属全球独家福利，AI大礼包+英伟达股票免费送！
moomoo【US/SG/MY/AU/CA/JP】：https://start.moomoo.com/0tBJUY
富途牛牛【香港地区】：https://start.futunn.com/03CGSK",13 hours ago,140,0
@SV-lo2oq,没想到我看视频对世界影响这么大🤣,13 hours ago,613,0
@mcleeoil,"比喻都非常傳神
特別喜歡班主任那段",11 hours ago,83,0
@kaikulimu,小lin你是神！可以把深奥的经济逻辑用通俗易懂的比喻解释得很清楚，赞！👍,6 hours ago,30,0
@kobe1179,小林總是能把艱深的經濟問題講解成淺顯易懂的事件，Respect,13 hours ago,192,0
@ellenma970,看小林的节目真是又长知识又开心,13 hours ago,50,0
@snorlaxzzzpixel,"粉絲量跟美股趨勢相同
聽起來蠻合理的呀
就是因為美股創高
大家對財經內容就更有興趣
所以粉絲數就跟著趨勢走",13 hours ago,255,0
@hungzack2873,不愧是 財經第一博主👍有顏值 有頭腦 有條理 有邏輯！,6 hours ago,60,0
@jeffpan32278,看小林說、賞心悅目、幽默風趣、增長財商🎉🎉🎉,7 hours ago,21,0
@TW1,班主任那段比喻太精彩了，絕妙的神來之筆！,10 hours ago,25,0
@洋們的爸媽JosiahFreda,可以把金融講成脫口秀，真的是底子深厚，無可匹敵。,13 hours ago,93,0
@Edward-m7c4g,小lin越来越好看，小lin的内容质量越来越高，应该仅仅是个高度正相关的数据巧合。数据怎么赋值？感觉,13 hours ago,31,0
@jdi87Tr3U,最后这个真是没想到，太好笑了。不愧是宇宙第一宝藏博主！🤣,5 hours ago,9,0
@呂MJ,小林的節目是極少數我會降速聽的❤,13 hours ago,29,0
@小米-d9e,太喜歡“滯漲vs智障”小故事譬喻😆😆❤❤,8 hours ago,10,0
@hscruli9541,很有意思，我几乎很少在宏观层面考虑美股和美元 利率 国债共振的问题，这次认识到了,10 hours ago,16,0
@yanhei8215,一如既往，妙趣横生。学习了，谢谢小林🌸,7 hours ago,10,0
@fei414fei,非常喜欢小lin的视频，有数据，有内容， 讲得轻松又有笑点， 谢谢。,10 hours ago (edited),12,0
@yiying5664,小林姐，我刚买了你的书，是你的超级粉丝哦！ 我把你所有的视频都看了一遍。 期盼你更多的视频和书。,13 hours ago,50,0
@mathsdaniel,优等生的满分作品！,11 hours ago,23,0
@品媛Liao-l7h,黃金續漲，俄羅斯贏！AI成功，則美國先贏，接著中國贏，俄羅斯也贏，三贏。,13 hours ago,3,0
@ifrs1774,"黃金今年已經漲了超過50%了
9月12%
10月原本已經5-6%了可是10/9跌3%左右但10/10又漲回去了 這樣一個月10%左右下去今年黃金就漲了快90%了 明年5月鮑爾下台不知道會暴升多少😂",13 hours ago (edited),3,0
@品媛Liao-l7h,因為俄羅斯有黃金豐富的礦產（南非也是)。報導說：近期俄羅斯又大量買入黃金。,13 hours ago,3,0
@unijackson499,會漲，但盡頭快到了😅,13 hours ago,1,0
@柳成德,大美女，我来你频道蹭一下流量,13 hours ago,1,0
@zhongmingan5285,美元主动贬值，促进出口？,12 hours ago,0,0
@ll00000000ll,小lin的粉丝量数据与标普500的相关性可以用机器学习做个因果分析。,12 hours ago,0,0
@AlertImDK,美國就業數據最近修正幅度很劇烈，主要是疫情之後，許多人的觀念突然改變（覺得人生無常，開始追求其他的目標），但美國勞工統計局用來衡量就業的模型當然就不準了,12 hours ago,1,0
@fengsmith,就是再迷信市场。黄金也太过分了,12 hours ago,0,0
@tankokkeong2502,黄金还有上升的空间.....,12 hours ago (edited),0,0
@arcoshina8190,我肯定粉絲量會框框漲,12 hours ago,0,0
